2022.05.30 军训工具人.xml,https://danmakus.com/live/6020a8a4-0afc-40db-bf2b-6da4e82b1a55
2022.06.01 嘉然 嘉心糖们听话，啊——.xml,https://danmakus.com/live/4f155a1f-8720-4825-a7a1-6a8b0aafe4e0
2022.08.25 向晚 谁还不能轻声细语的说话了.xml,https://danmakus.com/live/a5bfde79-c7ac-403b-80c4-d814693e1d73
2022.08.26 A-SOUL夜谈 五十五期 奇葩竟在我身边！.xml,https://danmakus.com/live/c7ef3e42-e1a7-4deb-a9d2-4be550275b89
2022.08.28 贝拉&嘉然 不到终点不下播！.xml,https://danmakus.com/live/15cf7678-739c-47e0-96c5-9251c2870b8c
2022.08.31 贝拉 贝拉的K歌房.xml,https://danmakus.com/live/41e86938-f344-49f9-9027-a24e333b5d44
2022.09.22 乃琳 和大家聊天画画的小乃琳一枚吖~.xml,https://danmakus.com/live/57ccb8a8-8dc2-47dc-8760-f3f93ed19e03
2022.10.19 贝拉 贝拉舞力大挑战.xml,https://danmakus.com/live/fdae803e-e782-48dd-9063-8ad41739554b
2022.10.20 向晚 终于！完成了它！.xml,https://danmakus.com/live/df83d354-d819-4329-80ed-285b13cfcb67
2022.10.28 乃琳 A-SOUL花椒杯英雄联盟水友赛娱乐赛.xml,https://danmakus.com/live/3d53316e-bd10-4dca-9a48-23a2216f12c7
2022.11.17 乃琳 暖冬歌会.xml,https://danmakus.com/live/6bfce5ca-6631-45d4-9651-37b838d47391
2022.11.18 A-SOUL夜谈 六十二期 猜猜我说的是谁~.xml,https://danmakus.com/live/edaaf9db-9900-4631-8954-f29f20022883
2022.12.11 A-SOUL二周年纪念直播.xml,https://danmakus.com/live/70a32279-2629-4b96-a5e2-f0f38685c6ce
2023.01.01 A-SOUL夜谈 六十五期 今天，想和你做的事.xml,https://danmakus.com/live/ab3234b7-de0b-4bff-935a-d07e0c407045
2023.01.05 向晚 快乐分你一半.xml,https://danmakus.com/live/ad044343-fdc5-41fd-962c-7ca0d1bac924
2023.02.22 A-SOUL夜谈 七十期 今天是睡衣爆料趴！.xml,https://danmakus.com/live/2fe36e4a-b6f9-4a05-891d-d4962f2a7883
2023.03.16 嘉然&乃琳 好姐姐，你再带带我嘛~.xml,https://danmakus.com/live/c72111bb-cf64-41d3-a071-c36cbbc0788e
2023.03.25 嘉然&向晚×原神 提瓦特！我们来啦！.xml,https://danmakus.com/live/fb8b6a82-7bfe-4785-84bd-9f94497528f0
2023.04.27 乃琳 情 歌 王 乃 琳.xml,https://danmakus.com/live/7f0bbad4-c954-4c07-bd73-33f73fa342fd
2023.04.27 贝拉 贝拉的快乐很简单！.xml,https://danmakus.com/live/2614e037-8fa9-485e-b197-01c686dcfdf0
2023.05.02 A-SOUL夜谈 七十五期 天啊！我忘不了啦！.xml,https://danmakus.com/live/d773e47c-ddcc-4ece-b9c1-e60caf8af02f
2023.05.03 嘉然 嘉心糖给嘉然出题啦！.xml,https://danmakus.com/live/84ea8405-878c-4ec9-9196-8ccbd8ddc072
2023.05.17 嘉然 然比的萌宠派对，来玩嘛.xml,https://danmakus.com/live/b493ce0d-caaf-4164-8765-81632b5334ea
2023.05.19 A-SOUL游戏室 四十一期 卷！土！重！来！之火柴人大乱斗.xml,https://danmakus.com/live/aa0f9be5-3a1c-4bf0-ae9f-7cfb95521416
2023.06.07 嘉然 嘉心糖，你的胆肥了！.xml,https://danmakus.com/live/c5e37a8c-944d-49a2-b6e7-f791109c99fb
2023.07.02 贝拉&乃琳 双人成行 有你才行.xml,https://danmakus.com/live/47f21acb-2d0e-4df3-a42c-ab6aaeec4e1a
2023.07.05 向晚 歌是苦的碗是甜的！！.xml,https://danmakus.com/live/f5694680-45fe-4853-97c6-0242430a74a6
2023.07.05 嘉然 来把嘉然变可爱.xml,https://danmakus.com/live/32b93398-6a2e-4a55-85c1-0fbaa46e418e
2023.07.06 乃琳 今天要突击检查！.xml,https://danmakus.com/live/2c8a4e25-eb27-4ef2-959d-8d2f2df2c074
2023.07.06 贝拉 很好！很有精神！.xml,https://danmakus.com/live/0a9f7ecc-4049-4d4a-b562-f7d963de1a16
2023.07.08 A-SOUL夜谈 七十七期 这道题太难了！！！.xml,https://danmakus.com/live/1cc41de1-714f-4437-a316-e017d1f71ad8
