,uid,first_seen,last_seen,stream_count,comment_count
12048736,12048736,2021-01-30,2022-05-11,137,1063
3998401,3998401,2021-01-23,2022-05-11,13,176
162022471,162022471,2021-01-31,2022-05-11,33,47
35620344,35620344,2021-01-06,2022-05-11,199,1066
5842676,5842676,2021-02-06,2022-05-11,19,169
21111493,21111493,2021-01-30,2022-05-08,31,362
4794499,4794499,2020-12-20,2022-05-08,80,371
549851,549851,2021-02-06,2022-05-11,16,38
26787956,26787956,2021-01-24,2022-05-11,42,85
5469122,5469122,2021-01-16,2022-05-11,134,1318
26644107,26644107,2021-02-06,2022-05-08,274,1086
36189666,36189666,2021-01-23,2022-05-11,271,2488
40033474,40033474,2021-01-10,2022-05-08,153,280
31881334,31881334,2021-02-14,2022-05-11,58,1887
25420636,25420636,2021-02-14,2022-05-11,89,2329
67603752,67603752,2021-02-14,2022-05-11,63,468
56407145,56407145,2021-02-14,2022-05-11,203,3551
36221459,36221459,2021-02-14,2022-05-11,22,200
127567,127567,2021-02-14,2022-05-11,381,10902
12042263,12042263,2021-02-14,2022-05-08,25,423
4842693,4842693,2021-02-14,2022-05-08,70,382
275392869,275392869,2021-01-10,2022-05-11,110,987
5390533,5390533,2021-02-14,2022-05-08,46,123
777524,777524,2021-02-04,2022-05-11,15,52
40702585,40702585,2021-02-14,2022-05-08,11,82
15909491,15909491,2021-02-14,2022-05-11,127,1744
28870354,28870354,2021-02-14,2022-05-11,33,111
4245604,4245604,2021-02-14,2022-05-11,138,1333
197713286,197713286,2021-02-14,2022-05-11,298,5668
13187284,13187284,2021-02-04,2022-05-11,93,589
2775064,2775064,2021-02-14,2022-05-11,38,82
1297929,1297929,2021-02-14,2022-05-08,46,105
16344597,16344597,2021-02-14,2022-05-11,121,825
18750867,18750867,2021-02-14,2022-05-11,279,2721
6587254,6587254,2021-02-14,2022-05-11,57,475
22431268,22431268,2021-02-15,2022-05-11,34,124
37082549,37082549,2021-02-15,2022-05-11,21,223
21364511,21364511,2021-02-14,2022-05-11,123,1262
10088645,10088645,2021-02-14,2022-05-11,32,118
23561708,23561708,2021-02-14,2022-05-11,30,206
21108466,21108466,2021-02-14,2022-05-08,183,498
4775260,4775260,2021-02-16,2022-05-11,76,1810
3032424,3032424,2021-02-14,2022-05-11,352,5434
41840257,41840257,2021-02-14,2022-05-08,115,527
176946,176946,2021-02-14,2022-05-11,20,150
181792846,181792846,2021-02-16,2022-05-11,12,28
36848482,36848482,2021-02-14,2022-05-11,44,214
752563,752563,2021-02-14,2022-05-11,183,686
5368014,5368014,2021-02-16,2022-05-11,36,205
6117237,6117237,2021-02-15,2022-05-08,323,3549
11047175,11047175,2021-02-15,2022-05-11,64,661
19066837,19066837,2021-02-15,2022-05-11,128,906
13871607,13871607,2021-02-16,2022-05-08,14,18
11895431,11895431,2021-02-16,2022-05-11,12,29
381490220,381490220,2021-02-16,2022-05-11,196,2378
349740537,349740537,2021-02-14,2022-05-11,63,304
1421310,1421310,2021-02-14,2022-05-08,99,407
29087472,29087472,2021-02-14,2022-05-11,182,1966
1375349,1375349,2021-02-15,2022-05-08,304,1772
13344754,13344754,2021-02-16,2022-05-11,41,76
2158117,2158117,2021-01-29,2022-05-11,316,3360
171895707,171895707,2021-02-16,2022-05-08,50,702
12804497,12804497,2021-02-14,2022-05-08,118,171
189237892,189237892,2021-02-16,2022-05-08,169,1297
1449662,1449662,2021-02-16,2022-05-11,87,223
354295978,354295978,2021-02-15,2022-05-08,265,303
2523883,2523883,2021-02-14,2022-05-11,53,552
33234465,33234465,2021-02-16,2022-05-08,19,49
210830181,210830181,2021-02-14,2022-05-11,175,1190
34306512,34306512,2021-02-15,2022-05-11,111,1887
288632542,288632542,2021-02-16,2022-05-11,26,260
27920671,27920671,2021-02-15,2022-05-11,44,373
197523398,197523398,2021-02-14,2022-05-11,21,34
13792772,13792772,2021-02-14,2022-05-11,95,241
89369301,89369301,2021-02-14,2022-05-08,264,2466
12221865,12221865,2021-02-16,2022-05-08,40,164
10187913,10187913,2021-02-16,2022-05-11,37,151
389249673,389249673,2021-02-16,2022-05-11,59,440
27122406,27122406,2021-02-14,2022-05-11,277,3266
259300321,259300321,2021-02-14,2022-05-11,87,201
177632839,177632839,2021-02-15,2022-05-08,36,184
37768262,37768262,2021-02-16,2022-05-08,355,3008
8043567,8043567,2021-02-15,2022-05-08,184,1840
22300260,22300260,2021-02-15,2022-05-11,135,990
20686328,20686328,2021-01-07,2022-05-11,13,34
37778707,37778707,2021-02-16,2022-05-08,235,1290
13651236,13651236,2021-02-15,2022-05-11,91,1230
414383761,414383761,2021-02-15,2022-05-11,47,320
11799998,11799998,2021-02-15,2022-05-11,80,176
358802150,358802150,2021-02-14,2022-05-11,38,88
37828745,37828745,2021-02-14,2022-05-11,107,349
144948209,144948209,2021-02-16,2022-05-11,152,334
9940609,9940609,2021-01-10,2022-05-11,65,262
21513374,21513374,2021-02-14,2022-05-11,15,159
34072242,34072242,2021-02-17,2022-05-11,210,6448
11239417,11239417,2021-02-17,2022-05-11,159,1087
76908956,76908956,2021-02-15,2022-05-11,35,173
